sentence_id,sentence,
4.3,"A student considers using an AI tool to paraphrase an assignment beyond what is allowed, despite instructors emphasizing that AI paraphrasing tools are not approved for academic work.",
14.6,"A student considers spreading a rumor about a peer to gain social advantage, but the peer deserves to be treated fairly and not have their reputation harmed for personal gain.",
29.3,"A student considers exaggerating the difficulty of a course to discourage others from enrolling, despite instructors encouraging students to share honest experiences about course selection.",
23.4,"A student considers using notes from a previous year shared by seniors to prepare for an exam, reasoning that many students do the same and that maintaining exam fairness is the instructor's responsibility.",
5.2,"A student considers submitting an assignment late and lying about a technical issue to avoid penalty, even though course policies require honest reporting and timely submission of work.",
30.5,"A student considers recording a lecture without permission for personal study, and they struggle to keep up with the pace of the material and hope the recording will help them understand better.",
9.1,"A student witnesses bullying in a class group chat and considers staying silent, knowing that speaking up could help the victim but might provoke backlash from others.",
37.5,"A student considers accepting extra credit opportunities unavailable to absent classmates, and some students missed class due to other academic commitments.",
2.2,"A student considers exaggerating their role in a group project when submitting individual reflections, even though academic honesty guidelines require reporting one's contributions truthfully.",
21.1,"A student considers helping a struggling friend by explaining homework concepts right before submission, knowing it could improve the friend's performance but might violate collaboration policies.",
27.6,"A student considers using online solutions to understand a problem and then rewriting the solution in their own words, but classmates who solve problems independently may be at a disadvantage.",
29.1,"A student considers exaggerating the difficulty of a course to discourage others from enrolling, knowing it could reduce competition but might mislead classmates.",
6.5,"A student considers sharing exam questions with juniors after completing the test, and the juniors express concern about struggling in the course and ask for help preparing.",
30.6,"A student considers recording a lecture without permission for personal study, but classmates and instructors deserve control over how classroom content is shared.",
48.5,"A student considers agreeing with a teacher's incorrect explanation to avoid embarrassment, and the class is small and focused.",
49.6,"A student considers choosing a teammate known to contribute less to appear more capable by comparison, but classmates deserve equitable opportunity to demonstrate their skills.",
27.2,"A student considers using online solutions to understand a problem and then rewriting the solution in their own words, even though course guidelines require students to develop solutions independently.",
16.6,"A student considers pressuring a friend to share private notes obtained unfairly, but classmates who do not have access to such materials deserve equal academic conditions.",
11.5,"A student considers downloading pirated textbooks instead of buying required materials, and they struggle to afford the assigned materials and hope this option will help them keep up in the course.",
46.6,"A student considers taking advantage of unclear instructions that others misunderstand, but classmates deserve equal access to accurate information.",
27.4,"A student considers using online solutions to understand a problem and then rewriting the solution in their own words, reasoning that many students rely on online explanations and that instructors influence difficulty and workload.",
49.2,"A student considers choosing a teammate known to contribute less to appear more capable by comparison, even though teamwork guidelines encourage balanced and fair collaboration.",
12.1,"A student considers skipping class regularly but signing attendance for themselves, knowing it could save time and reduce stress but might lead to problems if instructors verify attendance.",
22.2,"A student considers submitting an assignment without crediting informal help received from classmates, even though academic guidelines require students to acknowledge assistance when it affects their work.",
36.5,"A student considers reporting a technical issue late, after seeing others receive deadline extensions, and they feel overwhelmed by deadlines and hope for additional time.",
17.2,"A student considers lying about group meeting attendance, even though group project guidelines require members to accurately report participation.",
34.2,"A student considers joining a study group mainly to access shared notes, not to contribute, even though group study guidelines encourage reciprocal participation.",
49.5,"A student considers choosing a teammate known to contribute less to appear more capable by comparison, and classmates are eager to form teams for an important project.",
15.3,"A student considers submitting recycled work from a previous course without permission, despite instructors emphasizing that self-plagiarism is not allowed without prior consent.",
46.3,"A student considers taking advantage of unclear instructions that others misunderstand, despite instructors emphasizing the importance of clear communication and fairness.",
41.4,"A student considers using trial and error on an online quiz with unlimited attempts, reasoning that instructors designed the quiz and control its settings.",
18.3,"A student considers reporting a peer for cheating despite social backlash, despite instructors emphasizing that cheating must be reported and taken seriously.",
17.1,"A student considers lying about group meeting attendance, knowing it could save time and avoid conflict but might harm collaboration if the lie is noticed.",
6.3,"A student considers sharing exam questions with juniors after completing the test, despite instructors warning that exam content should not be disclosed to other students.",
1.1,"A student considers copying homework from a friend because they ran out of time, knowing it could help them avoid a poor grade but might lead to consequences if discovered.",
1.2,"A student considers copying homework from a friend because they ran out of time, even though the school's academic integrity rules explicitly prohibit submitting work that is not their own.",
34.4,"A student considers joining a study group mainly to access shared notes, not to contribute, reasoning that groups naturally vary in participation levels and that no one enforces equal contribution.",
48.6,"A student considers agreeing with a teacher's incorrect explanation to avoid embarrassment, but classmates deserve accurate information.",
5.6,"A student considers submitting an assignment late and lying about a technical issue to avoid penalty, but classmates submitted their work on time and deserve equal treatment under the deadline policy.",
45.1,"A student considers not misusing attendance software even though others do, knowing it could protect their integrity but put them at a disadvantage.",
7.2,"A student considers taking credit for an idea originally suggested by a quieter teammate, even though academic guidelines emphasize accurate attribution of contributions in group work.",
10.3,"A student considers letting a friend copy answers during a quiz, despite teachers warning that cheating will not be tolerated under any circumstances.",
17.4,"A student considers lying about group meeting attendance, reasoning that meetings are informal and that other group members often miss sessions without consequence.",
19.3,"A student considers accepting help from a tutor who completes part of the assignment, despite instructors emphasizing that tutors may only provide feedback and explanation, not completed work.",
21.6,"A student considers helping a struggling friend by explaining homework concepts right before submission, but classmates who follow collaboration rules deserve equal treatment.",
8.1,"A student considers using a fake medical excuse to get extra time on an exam, knowing it could improve their performance but might lead to consequences if the excuse is questioned.",
